d_id,u_id,rating,review
68,40,3,"Good in parts, but overall average."
68,42,4,"Good movie! 10/10 would watch again. ğŸ‘"
68,49,2,"Mediocre at best."
68,50,1,"I had to break up for recommending this to my ex."
69,3,2,"Skibidi"
69,6,1,"Expectation vs. Reality: Complete fail."
69,8,1,"I had to break up for recommending this to my ex."
69,10,5,"Outstanding in every aspect."
69,14,4,"Big brain movie with great twists."
69,15,2,"Mediocre at best."
69,16,5,"Mind blown! ğŸ¤¯"
69,18,2,"Average performances, nothing special."
69,21,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
69,31,5,"Mind blown! ğŸ¤¯"
69,45,3,"Just another day in movie paradise."
69,46,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
70,7,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
70,10,3,"Middle of the road, like a plain slice of bread."
70,13,5,"Everything about this film is lit. ğŸ”¥"
70,18,2,"Skibidi"
70,19,1,"I had to break up for recommending this to my ex."
70,20,3,"A standard movie experience."
70,35,4,"Well-crafted and engaging."
70,41,1,"Horrific. My eyes hurt watching this."
70,42,4,"On point! Nailed it."
70,43,3,"Satisfactory, like a lukewarm cup of tea."
70,44,1,"More disappointing than the sequel."
71,3,3,"Just another day in movie paradise."
71,5,1,"This film is as useful as a screen door on a submarine."
71,6,1,"Horrific. My eyes hurt watching this."
71,11,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
71,17,2,"Skibidi"
71,24,5,"A must-watch for everyone."
71,26,1,"This film is as useful as a screen door on a submarine."
71,30,3,"It's a 3, because 2 was too harsh and 4 was too kind."
71,35,2,"Skibidi"
71,40,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
71,50,1,"Worst film I've ever seen."
72,7,4,"This movie slaps! ğŸ¬ğŸ”¥"
72,14,3,"Good in parts, but overall average."
72,16,1,"This film is as useful as a screen door on a submarine."
72,20,1,"Disgusting movie dude."
72,28,5,"A must-watch for everyone."
72,34,1,"Worst film I've ever seen."
72,41,4,"On point! Nailed it."
72,45,5,"Outstanding in every aspect."
72,48,3,"Neither here nor there."
72,50,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
73,1,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
73,3,3,"Average movie, worth a watch if you're bored."
73,5,2,"Average performances, nothing special."
73,21,4,"On point! Nailed it."
73,26,1,"Disgusting movie dude."
73,35,4,"A+ for effort and execution."
73,37,1,"Horrific. My eyes hurt watching this."
73,42,5,"This deserves all the Oscars! ğŸ†"
74,6,1,"This film is as useful as a screen door on a submarine."
74,9,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
74,14,2,"Disappointing compared to expectations."
74,25,4,"Solid direction and cinematography."
74,26,4,"Big brain movie with great twists."
74,28,2,"Mediocre at best."
74,29,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
74,37,2,"Average performances, nothing special."
74,43,1,"Well, that escalated quickly... to awful."
74,46,3,"Average movie, worth a watch if you're bored."
74,49,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
75,7,1,"Horrific. My eyes hurt watching this."
75,9,2,"Meh. It was a solid 2 from me."
75,14,3,"Average movie, worth a watch if you're bored."
75,20,1,"Worst film I've ever seen."
75,36,1,"Horrific. My eyes hurt watching this."
75,41,4,"This movie slaps! ğŸ¬ğŸ”¥"
75,46,3,"Good in parts, but overall average."
75,47,1,"Expectation vs. Reality: Complete fail."
75,50,3,"It's a 3, because 2 was too harsh and 4 was too kind."
76,2,5,"I'm shook. Best movie ever."
76,6,3,"It's a 3, because 2 was too harsh and 4 was too kind."
76,7,1,"Disgusting movie dude."
76,9,3,"Good in parts, but overall average."
76,13,1,"Expectation vs. Reality: Complete fail."
76,18,4,"Big brain movie with great twists."
76,19,1,"This film is as useful as a screen door on a submarine."
76,20,3,"Middle of the road, like a plain slice of bread."
76,22,2,"Not great, but not the worst."
76,23,3,"A standard movie experience."
76,24,3,"A standard movie experience."
76,31,5,"A must-watch for everyone."
76,37,3,"Just another day in movie paradise."
76,39,4,"Solid direction and cinematography."
76,44,3,"Average movie, worth a watch if you're bored."
76,45,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
77,4,2,"It's a no from me, dawg."
77,5,2,"Lowkey disappointing."
77,7,4,"Solid direction and cinematography."
77,8,4,"This movie slaps! ğŸ¬ğŸ”¥"
77,9,4,"Solid as a rock... if the rock had good acting."
77,10,1,"More disappointing than the sequel."
77,15,3,"Neither here nor there."
77,19,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
77,27,3,"Neither here nor there."
77,29,5,"One does not simply watch a better movie."
77,31,5,"Mind blown! ğŸ¤¯"
77,34,2,"Lowkey disappointing."
77,37,3,"A standard movie experience."
77,45,3,"Average movie, worth a watch if you're bored."
77,48,5,"Mind blown! ğŸ¤¯"
77,49,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
77,50,3,"Average movie, worth a watch if you're bored."
78,3,4,"On point! Nailed it."
78,7,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
78,9,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
78,14,2,"Disappointing compared to expectations."
78,16,4,"Good movie! 10/10 would watch again. ğŸ‘"
78,19,3,"A standard movie experience."
78,27,1,"It's not me, it's you... and the movie."
78,35,2,"Average performances, nothing special."
78,37,5,"I'm shook. Best movie ever."
78,43,1,"Expectation vs. Reality: Complete fail."
78,45,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
78,47,5,"A must-watch for everyone."
79,3,4,"On point! Nailed it."
79,9,2,"Skibidi"
79,11,1,"Expectation vs. Reality: Complete fail."
79,16,4,"Highkey enjoyed this one."
79,20,1,"This film is as useful as a screen door on a submarine."
79,21,3,"Middle of the road, like a plain slice of bread."
79,22,2,"Meh. It was a solid 2 from me."
79,24,3,"Aight, it's aight."
79,25,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
79,27,4,"On point! Nailed it."
79,29,4,"Good movie! 10/10 would watch again. ğŸ‘"
79,30,5,"This deserves all the Oscars! ğŸ†"
79,36,1,"Disgusting movie dude."
79,39,1,"Worst film I've ever seen."
79,50,5,"Everything about this film is lit. ğŸ”¥"
80,2,4,"Good movie! 10/10 would watch again. ğŸ‘"
80,5,4,"Big brain movie with great twists."
80,12,2,"I'm crying inside... from boredom."
80,14,2,"I'm crying inside... from boredom."
80,30,2,"Meh. It was a solid 2 from me."
80,33,4,"Big brain movie with great twists."
80,39,1,"Expectation vs. Reality: Complete fail."
80,45,2,"Lowkey disappointing."
80,46,1,"This film is as useful as a screen door on a submarine."
81,6,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
81,8,5,"I'm shook. Best movie ever."
81,9,4,"This movie slaps! ğŸ¬ğŸ”¥"
81,10,3,"Middle of the road, like a plain slice of bread."
81,14,2,"Meh. It was a solid 2 from me."
81,16,4,"A+ for effort and execution."
81,17,1,"I had to break up for recommending this to my ex."
81,18,1,"I had to break up for recommending this to my ex."
81,19,3,"It's a 3, because 2 was too harsh and 4 was too kind."
81,20,4,"Good movie! 10/10 would watch again. ğŸ‘"
81,25,5,"Outstanding in every aspect."
81,29,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
81,31,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
81,32,4,"Solid direction and cinematography."
81,37,1,"More disappointing than the sequel."
81,38,4,"On point! Nailed it."
81,41,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
81,42,4,"Big brain movie with great twists."
81,45,1,"Expectation vs. Reality: Complete fail."
82,8,2,"I'm crying inside... from boredom."
82,9,2,"Lowkey disappointing."
82,17,3,"A standard movie experience."
82,18,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
82,20,4,"Highly recommend watching this."
82,23,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
82,26,2,"Skibidi"
82,28,4,"Well-crafted and engaging."
82,31,5,"Everything about this film is lit. ğŸ”¥"
82,33,5,"One does not simply watch a better movie."
82,37,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
82,40,4,"Big brain movie with great twists."
82,41,5,"Everything about this film is lit. ğŸ”¥"
82,44,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
82,50,3,"It's a 3, because 2 was too harsh and 4 was too kind."
83,6,5,"This deserves all the Oscars! ğŸ†"
83,9,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
83,10,2,"Not great, but not the worst."
83,14,3,"Average movie, worth a watch if you're bored."
83,18,4,"Solid as a rock... if the rock had good acting."
83,21,1,"It's not me, it's you... and the movie."
83,26,4,"On point! Nailed it."
83,31,3,"Good in parts, but overall average."
83,36,5,"Mind blown! ğŸ¤¯"
83,46,1,"More disappointing than the sequel."
83,49,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
84,5,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
84,8,5,"This deserves all the Oscars! ğŸ†"
84,9,5,"A must-watch for everyone."
84,12,2,"Not great, but not the worst."
84,16,3,"Neither here nor there."
84,17,2,"I'm crying inside... from boredom."
84,19,4,"Solid direction and cinematography."
84,20,2,"It's a no from me, dawg."
84,21,3,"A standard movie experience."
84,22,3,"Neither here nor there."
84,24,5,"I'm shook. Best movie ever."
84,26,3,"It's a 3, because 2 was too harsh and 4 was too kind."
84,30,1,"Disgusting movie dude."
84,31,4,"Big brain movie with great twists."
84,34,3,"It's a 3, because 2 was too harsh and 4 was too kind."
84,40,1,"This film is as useful as a screen door on a submarine."
84,41,1,"Worst film I've ever seen."
84,44,3,"Good in parts, but overall average."
85,3,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
85,11,3,"Middle of the road, like a plain slice of bread."
85,14,2,"Not great, but not the worst."
85,20,1,"More disappointing than the sequel."
85,21,3,"Middle of the road, like a plain slice of bread."
85,26,1,"More disappointing than the sequel."
85,29,5,"One does not simply watch a better movie."
85,31,4,"Good movie! 10/10 would watch again. ğŸ‘"
85,33,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
85,40,2,"Meh. It was a solid 2 from me."
85,43,2,"Lowkey disappointing."
85,45,3,"Middle of the road, like a plain slice of bread."
86,2,1,"This film is as useful as a screen door on a submarine."
86,6,1,"Horrific. My eyes hurt watching this."
86,10,5,"One does not simply watch a better movie."
86,17,4,"On point! Nailed it."
86,21,4,"Solid direction and cinematography."
86,22,1,"Disgusting movie dude."
86,39,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
86,42,2,"Meh. It was a solid 2 from me."
86,48,4,"A+ for effort and execution."
86,49,3,"Aight, it's aight."
87,3,4,"Well-crafted and engaging."
87,5,5,"A must-watch for everyone."
87,13,5,"Mind blown! ğŸ¤¯"
87,24,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
87,25,3,"Average movie, worth a watch if you're bored."
87,32,3,"Satisfactory, like a lukewarm cup of tea."
87,33,2,"Mediocre at best."
87,42,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
87,44,3,"A standard movie experience."
88,2,3,"A standard movie experience."
88,3,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
88,8,3,"Satisfactory, like a lukewarm cup of tea."
88,12,1,"Well, that escalated quickly... to awful."
88,16,2,"Disappointing compared to expectations."
88,17,1,"This film is as useful as a screen door on a submarine."
88,20,1,"Horrific. My eyes hurt watching this."
88,22,3,"Satisfactory, like a lukewarm cup of tea."
88,30,1,"Worst film I've ever seen."
88,34,4,"This movie slaps! ğŸ¬ğŸ”¥"
88,38,1,"Expectation vs. Reality: Complete fail."
88,40,1,"It's not me, it's you... and the movie."
88,41,1,"Expectation vs. Reality: Complete fail."
88,45,4,"Highkey enjoyed this one."
88,47,1,"It's not me, it's you... and the movie."
89,4,5,"This deserves all the Oscars! ğŸ†"
89,8,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
89,15,3,"It's a 3, because 2 was too harsh and 4 was too kind."
89,17,2,"Average performances, nothing special."
89,19,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
89,29,2,"Mediocre at best."
89,33,3,"Middle of the road, like a plain slice of bread."
89,37,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
89,38,2,"I'm crying inside... from boredom."
89,41,4,"Good movie! 10/10 would watch again. ğŸ‘"
89,46,5,"A cinematic experience worthy of a standing ovation."
90,2,4,"Highly recommend watching this."
90,5,5,"I'm shook. Best movie ever."
90,12,5,"One does not simply watch a better movie."
90,29,5,"Outstanding in every aspect."
90,34,2,"Lowkey disappointing."
90,36,1,"More disappointing than the sequel."
90,38,5,"This deserves all the Oscars! ğŸ†"
90,39,1,"Worst film I've ever seen."
90,43,3,"It's a 3, because 2 was too harsh and 4 was too kind."
91,3,3,"It's a 3, because 2 was too harsh and 4 was too kind."
91,11,3,"Just another day in movie paradise."
91,14,5,"One does not simply watch a better movie."
91,17,5,"Everything about this film is lit. ğŸ”¥"
91,20,1,"Worst film I've ever seen."
91,24,4,"This movie slaps! ğŸ¬ğŸ”¥"
91,27,1,"Disgusting movie dude."
91,29,5,"Everything about this film is lit. ğŸ”¥"
91,32,2,"It's a no from me, dawg."
91,36,1,"I had to break up for recommending this to my ex."
91,38,3,"Neither here nor there."
91,50,1,"Disgusting movie dude."
92,1,1,"I had to break up for recommending this to my ex."
92,8,2,"Not great, but not the worst."
92,15,2,"Average performances, nothing special."
92,23,3,"Average movie, worth a watch if you're bored."
92,24,1,"I had to break up for recommending this to my ex."
92,26,2,"Disappointing compared to expectations."
92,31,3,"Middle of the road, like a plain slice of bread."
92,39,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
92,41,2,"Disappointing compared to expectations."
92,42,2,"Mediocre at best."
92,46,5,"This deserves all the Oscars! ğŸ†"
92,49,1,"It's not me, it's you... and the movie."
93,4,4,"Solid direction and cinematography."
93,9,5,"A must-watch for everyone."
93,10,5,"Outstanding in every aspect."
93,17,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
93,18,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
93,19,2,"I'm crying inside... from boredom."
93,20,1,"More disappointing than the sequel."
93,24,2,"Average performances, nothing special."
93,50,5,"Everything about this film is lit. ğŸ”¥"
94,5,3,"Neither here nor there."
94,15,4,"Big brain movie with great twists."
94,17,1,"More disappointing than the sequel."
94,21,2,"It's a no from me, dawg."
94,26,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
94,34,4,"Solid as a rock... if the rock had good acting."
94,37,5,"This movie is straight fire! ğŸ”¥ğŸ”¥ğŸ”¥"
94,38,1,"It's not me, it's you... and the movie."
94,41,3,"Neither here nor there."
94,46,5,"I'm shook. Best movie ever."
94,50,4,"Big brain movie with great twists."
95,2,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
95,4,3,"It's a 3, because 2 was too harsh and 4 was too kind."
95,5,4,"Highkey enjoyed this one."
95,13,3,"Satisfactory, like a lukewarm cup of tea."
95,14,2,"Average performances, nothing special."
95,30,4,"Solid direction and cinematography."
95,38,3,"Satisfactory, like a lukewarm cup of tea."
95,39,3,"A standard movie experience."
95,42,2,"Meh. It was a solid 2 from me."
95,44,3,"A standard movie experience."
95,50,2,"Skibidi"
96,3,5,"Everything about this film is lit. ğŸ”¥"
96,6,4,"A+ for effort and execution."
96,7,2,"I'm crying inside... from boredom."
96,8,2,"Kinda sus, not sure what's happening here. ğŸ¤¨"
96,11,1,"I had to break up for recommending this to my ex."
96,17,1,"Expectation vs. Reality: Complete fail."
96,19,4,"This movie slaps! ğŸ¬ğŸ”¥"
96,21,3,"A standard movie experience."
96,24,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
96,26,3,"Average movie, worth a watch if you're bored."
96,27,4,"Good movie! 10/10 would watch again. ğŸ‘"
96,33,2,"Lowkey disappointing."
96,34,3,"It was okay, nothing extra special. ğŸ¤·â€â™‚ï¸"
96,40,4,"Highly recommend watching this."
96,46,5,"One does not simply watch a better movie."
97,3,4,"This movie slaps! ğŸ¬ğŸ”¥"
97,5,2,"Not great, but not the worst."
97,10,3,"A standard movie experience."
97,12,4,"Solid as a rock... if the rock had good acting."
97,15,1,"Well, that escalated quickly... to awful."
97,18,5,"Absolute masterpiece! Chef's kiss! ğŸ‘ŒğŸ’¯"
97,19,5,"Outstanding in every aspect."
97,21,1,"I had to break up for recommending this to my ex."
97,24,1,"It's not me, it's you... and the movie."
97,25,5,"Everything about this film is lit. ğŸ”¥"
97,26,3,"Aight, it's aight."
97,34,1,"Horrific. My eyes hurt watching this."
97,38,1,"Expectation vs. Reality: Complete fail."
97,40,4,"Highkey enjoyed this one."
97,43,2,"It's a no from me, dawg."
97,47,3,"Middle of the road, like a plain slice of bread."
97,48,3,"Middle of the road, like a plain slice of bread."
98,3,2,"Meh. It was a solid 2 from me."
98,7,1,"Expectation vs. Reality: Complete fail."
98,10,4,"This movie slaps! ğŸ¬ğŸ”¥"
98,14,4,"Big brain movie with great twists."
98,22,1,"It's not me, it's you... and the movie."
98,25,4,"Highkey enjoyed this one."
98,26,4,"Big brain movie with great twists."
98,30,1,"I had to break up for recommending this to my ex."
98,31,4,"Highkey enjoyed this one."
98,32,3,"It's a 3, because 2 was too harsh and 4 was too kind."
98,33,4,"Big brain movie with great twists."
98,37,3,"Aight, it's aight."
98,38,1,"Well, that escalated quickly... to awful."
98,39,5,"A must-watch for everyone."
98,40,3,"A standard movie experience."
98,43,1,"Horrific. My eyes hurt watching this."
98,44,2,"Skibidi"
98,45,5,"This deserves all the Oscars! ğŸ†"
98,47,5,"One does not simply watch a better movie."
98,50,5,"One does not simply watch a better movie."
